Date	Time	Severity	PID	TID	Function	Message
20-05-2025	16:57:15.750	 INFO	 37756	 21440	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
20-05-2025	16:57:15.753	 INFO	 37756	 65208	LateInitialization	"Intialization..."
20-05-2025	16:57:15.755	 INFO	 37756	 65208	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
20-05-2025	16:57:15.757	 INFO	 37756	 65208	LateInitialization	"IsExplorer = 0"
20-05-2025	16:57:15.759	 INFO	 37756	 65208	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
20-05-2025	16:57:15.761	 INFO	 37756	 65208	LateInitialization	"Intialization finished"
21-05-2025	16:17:23.479	 INFO	 48848	 26060	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
21-05-2025	16:17:23.481	 INFO	 48848	 40804	LateInitialization	"Intialization..."
21-05-2025	16:17:23.483	 INFO	 48848	 40804	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
21-05-2025	16:17:23.486	 INFO	 48848	 40804	LateInitialization	"IsExplorer = 0"
21-05-2025	16:17:23.488	 INFO	 48848	 40804	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
21-05-2025	16:17:23.490	 INFO	 48848	 40804	LateInitialization	"Intialization finished"
26-05-2025	15:42:31.485	 INFO	 48396	 28676	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
26-05-2025	15:42:31.490	 INFO	 48396	 67652	LateInitialization	"Intialization..."
26-05-2025	15:42:31.493	 INFO	 48396	 67652	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
26-05-2025	15:42:31.496	 INFO	 48396	 67652	LateInitialization	"IsExplorer = 0"
26-05-2025	15:42:31.498	 INFO	 48396	 67652	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
26-05-2025	15:42:31.501	 INFO	 48396	 67652	LateInitialization	"Intialization finished"
